ts,source,namespace,pod,node,level,verb,code,route,msg,container_restart,rollout_in_window
2025-09-10 16:41:49.308546886+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308546886Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308550072+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308550072Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308553232+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308553232Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308556334+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308556334Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308559445+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308559445Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308562545+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308562545Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308565677+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308565677Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308565677+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308565677Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308617846+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308617846Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
2025-09-10 16:41:49.308941504+00:00,app,redhat-ods-applications,odh-model-controller-7bdb5d4bdd-5psq7,,info,,,,"{""@timestamp"":""2025-09-10T16:41:49.308941504Z"",""hostname"":""rhoai-sno"",""kubernetes"":{""annotations"":{""k8s.ovn.org/pod-networks"":""{\""default\"":{\""ip_addresses\"":[\""10.128.0.174/23\""],\""mac_address\"":\""0a:58:0a:80:00:ae\"",\""gateway_ips\"":[\""10.128.0.1\""],\""routes\"":[{\""dest\"":\""10.128.0.0/14\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""172.30.0.0/16\"",\""nextHop\"":\""10.128.0.1\""},{\""dest\"":\""169.254.0.5/3",0,0.0
